BL_ID,Colony,Burrow,Date,Time,Media,Background,GPS,Visibility,Comment,PhotoID,Prey,Count,Confidence,BillHeight_pix,Headbill_pix,HeadLength_pix,TailLength_pix,Measure_comment
EC8_2024-08-13_10:16:00,EC,EC8,2024-08-13,10:16,Photo,N,N,Full,Maybe too large to be Herring0,08130508.JPG,Herring0,6,50,351,,,500,
EC9_2024-07-22_05:20:00,EC,EC9,2024-07-22,05:20,Photo,N,N,Full,,07220185.JPG,Gadid,2,100,336,,115,324,
EC9_2024-07-22_05:20:00,EC,EC9,2024-07-22,05:20,Photo,N,N,Full,,07220185.JPG,Sandfish,1,75,336,,,445,
EC9_2024-07-22_18:28:00,EC,EC9,2024-07-22,18:28,Photo,N,N,Full,,07220688.JPG,Capelin,1,50,256,,85,,
EC9_2024-07-22_18:28:00,EC,EC9,2024-07-22,18:28,Photo,N,N,Full,,07220688.JPG,UnknownFish,3,NA,256,,,334,
EC9_2024-07-23_10:34:00,EC,EC9,2024-07-23,10:34,Photo,N,N,Partial,,07230328.JPG,Capelin,1,50,X,X,,,
EC9_2024-07-23_20:19:00,EC,EC9,2024-07-23,20:19,Photo,N,N,Partial,,07230733.JPG,UnknownFish,1,NA,X,X,,,
EC9_2024-07-24_09:28:00,EC,EC9,2024-07-24,09:28,Photo,N,N,Full,,07240370.JPG,Capelin,1,100,325,,,840,
EC9_2024-07-24_09:28:00,EC,EC9,2024-07-24,09:28,Photo,N,N,Full,,07240370.JPG,UnknownFish,1,NA,,,X,X,
EC9_2024-07-25_10:31:00,EC,EC9,2024-07-25,10:31,Photo,N,N,Full,,07250322.JPG,UnknownFish,1,NA,,,X,X,
EC9_2024-07-28_09:25:00,EC,EC9,2024-07-28,09:25,Photo,N,N,Partial,,07280907.JPG,UnknownFish,1,NA,,,X,X,
EC9_2024-08-01_10:20:00,EC,EC9,2024-08-01,10:20,Photo,N,N,Full,,08010715.JPG,Sandlance,1,75,X,X,,,
EC9_2024-08-01_10:20:00,EC,EC9,2024-08-01,10:20,Photo,N,N,Full,,08010715.JPG,Squid,1,50,X,X,,,
EC9_2024-08-01_10:20:00,EC,EC9,2024-08-01,10:20,Photo,N,N,Full,,08010715.JPG,UnknownFish,3,NA,X,X,,,
EC9_2024-08-02_06:05:00,EC,EC9,2024-08-02,06:05,Photo,N,N,Partial,,08020442.JPG,UnknownFish,1,NA,X,X,,,
EC9_2024-08-02_07:40:00,EC,EC9,2024-08-02,07:40,Photo,N,N,Partial,,08020679.JPG,Capelin,1,100,X,X,,,
EC9_2024-08-02_17:16:00,EC,EC9,2024-08-02,17:16,Photo,N,N,Full,,08020415.JPG,Sandlance,6,50,321,,109,,
EC9_2024-08-02_17:16:00_1,EC,EC9,2024-08-02,17:16,Photo,Y,N,Full,,08020415.JPG,Gadid,3,75,69,,,137,
EC9_2024-08-02_18:49:00,EC,EC9,2024-08-02,18:49,Photo,Y,N,Full,,08020595.JPG,UnknownFish,5,NA,116,,,140,
EC9_2024-08-03_10:43:00,EC,EC9,2024-08-03,10:43,Photo,N,N,Full,,08030151.JPG,Gadid,1,100,408,,,725,
EC9_2024-08-03_10:43:00,EC,EC9,2024-08-03,10:43,Photo,N,N,Full,,08030151.JPG,Gadid,4,100,408,,,489,
EC9_2024-08-03_12:01:00,EC,EC9,2024-08-03,12:01,Photo,Y,N,Partial,,08030223.JPG,UnknownFish,1,NA,X,X,,,
EC9_2024-08-04_04:56:00,EC,EC9,2024-08-04,04:56,Photo,N,N,Partial,"Fish appears on ground, moved by TUPU at 5:24, eaten by GWGU at 5:26",08040577.JPG,Capelin,1,100,,,X,X,
EC9_2024-08-04_08:49:00,EC,EC9,2024-08-04,08:49,Photo,N,N,Partial,,08040928.JPG,Unknown,1,NA,X,X,,,
EC9_2024-08-04_10:45:00,EC,EC9,2024-08-04,10:45,Photo,N,N,Partial,,08040094.JPG,UnknownFish,4,NA,324,,,575,
EC9_2024-08-06_14:17:00,EC,EC9,2024-08-06,14:17,Photo,N,N,Partial,,08060340.JPG,Unknown,3,NA,X,X,,,
EC9_2024-08-07_06:46:00,EC,EC9,2024-08-07,06:46,Photo,N,N,Partial,,08070271.JPG,Capelin,1,100,332,,,701,
EC9_2024-08-07_07:05:00,EC,EC9,2024-08-07,07:05,Photo,N,N,Partial,,08070349.JPG,Capelin,1,100,315,,,694,Bill partially obscured—height estimated
EC9_2024-08-07_10:23:00,EC,EC9,2024-08-07,10:23,Photo,N,N,Partial,,08070865.JPG,Unknown,1,NA,,,X,X,
EC9_2024-08-09_22:25:00,EC,EC9,2024-08-09,22:25,Photo,N,N,Partial,,08090692.JPG,Sandlance,1,100,X,X,,,
EC9_2024-08-10_05:57:00,EC,EC9,2024-08-10,05:57,Photo,N,N,Full,,08100871.JPG,Herring0,7,100,384,,,419,
EC9_2024-08-10_06:45:00,EC,EC9,2024-08-10,06:45,Photo,N,N,Partial,,08100988.JPG,Capelin,1,100,X,X,,,
EC9_2024-08-10_11:21:00,EC,EC9,2024-08-10,11:21,Photo,N,N,Full,,08100310.JPG,Capelin,1,100,309,,,742,
EC9_2024-08-10_11:21:00,EC,EC9,2024-08-10,11:21,Photo,N,N,Full,,08100310.JPG,UnknownFish,1,NA,309,,,266,Unknown to UnknownFish
EC9_2024-08-13_10:43:00,EC,EC9,2024-08-13,10:43,Photo,N,N,Full,,08130580.JPG,Gadid,1,100,309,,,658,
EC9_2024-08-13_10:43:00,EC,EC9,2024-08-13,10:43,Photo,N,N,Full,,08130580.JPG,Prowfish,1,100,309,,,464,
EC9_2024-08-13_10:43:00,EC,EC9,2024-08-13,10:43,Photo,N,N,Full,,08130580.JPG,UnknownFish,1,NA,309,,,628,
DR1_2024-07-16_16:48:00,DR,DR1,2024-07-16,16:48,Photo,N,N,Full,,07160153.MOV,UnknownFish,3,NA,263,,,258,
