dep_id,Gurge.Sample.ID,Fecal.Sample.ID
A103_bkyyos_16June2023,NA,P61
A101_okogrs_16June2023,NA,P62
A106_wgybs_16June2023,NA,P63
A111_okogys_16June2023,Middleton-BLKI-2023-463,P64
A99_bysogr_16June2023,NA,P65
A107_wbsokb_19June2023,NA,P66
A110_gwsory_19June2023,NA,P67
A103_esywy_20June2023,NA,P68
A102_wbsrgg_19June2023,NA,P69
A96_brgrs_20June2023,NA,P70
A105_esboo_20June2023,NA,P71
A100_owwybs_22June2023,Middleton-BLKI-2023-462,P72
A109_bsbyr_22June2023,NA,P73
A99_yrews_23June2023,Middleton-BLKI-2023-476,P74
A106_wsryy_23June2023,NA,P75
A104_rworbs_24June2023,NA,P76
A110_wsrgg_24June2023,NA,P77
A101_wbggs_24June2023,NA,P78
A108_bswow_25June2023,NA,P79
A105_roors_25June2023,NA,P80
A111_wgsoky_24June2023,Middleton-BLKI-2023-464,P81
A109_ebyrs_1July2023,NA,P82
A108_ebors_1July2023,Middleton-BLKI-2023-468,P83
A99_bkbyws_3July2023,Middleton-BLKI-2023-461,P84
A104_esewo_3July2023,NA,P85
A105_bsrww_3July2023,NA,P86
A101_bwgwrs_3July2023,Middleton-BLKI-2023-471,P87
A110_rsoyw_4July2023,Middleton-BLKI-2023-474,P88
A102_rkwgos_4July2023,Middleton-BLKI-2023-475,P89
A107_wygys_4July2023,Middleton-BLKI-2023-473,P90
A108_esrrg_6July2023,Middleton-BLKI-2023-472,P91
A106_gswee_7July2023,NA,P92
A103_beows_7July2023,Middleton-BLKI-2023-460,P93
A98_rybrks_7July2023,NA,P94
A111_eseyr_7July2023,NA,P95
A101_oygoks_7July2023,Middleton-BLKI-2023-455,P96
A105_ywswyr_7July2023,NA,P97
A107_oerrs_8July2023,NA,P98
A102_gorrs_8July2023,NA,P99
