"BL_ID","Prey","Count","Confidence","BirdMethod","PreyMethod","n_measured","TotalMass","AvMass","AvLength"
"DR16_2024-08-03_06:30:00","Herring0",1,75,"Headbill","Tail",1,1.09080536663052,1.09080536663052,59.0604272281369
"DR16_2024-08-03_08:00:00","Herring0",4,100,"Bill height","Tail",1,2.40232887880217,0.600582219700542,49.1530524818633
"DR16_2024-08-03_10:32:00","Gadid",3,75,"Bill height","Tail",1,1.53893294794881,0.51297764931627,45.9409405428744
"DR16_2024-08-03_10:32:00","Sandlance",2,50,"Bill height","Tail",1,0.518535356077662,0.259267678038831,48.3428780309492
"DR16_2024-08-03_11:45:00","Sandlance",1,50,NA,NA,0,NA,NA,NA
"DR16_2024-08-03_15:52:00","Gadid",3,50,"Bill height","Tail",1,8.66641734520853,2.88880578173618,75.3836597486115
"DR16_2024-08-03_18:46:00","Herring0",4,75,"Bill height","Tail",1,0.314521022421957,0.0786302556054894,26.2944131893258
"DR16_2024-08-03_18:46:00","Sandlance",4,100,"Bill height","Tail",1,0.478345420479225,0.119586355119806,38.5792568831863
"DR16_2024-08-03_19:11:00","Gadid",5,100,"Bill height","Tail",2,9.6815774729305,1.9363154945861,66.6666666666667
"DR16_2024-08-03_19:35:00","Sandlance",3,100,"Bill height","Tail",3,0.899015962665759,0.299671987555253,49.1074295254607
"DR16_2024-08-04_05:41:00","Herring0",4,75,"Bill height","Tail",1,0.917763525590365,0.229440881397591,36.556563627698
"DR16_2024-08-04_06:17:00","Gadid",2,50,NA,NA,0,NA,NA,NA
"DR16_2024-08-04_07:06:00","Sandlance",3,50,"Bill height","Tail",1,0.96743904588952,0.322479681963173,51.5178308281757
"DR16_2024-08-04_12:31:00","Gadid",4,75,"Bill height","Head",1,5.46013475080916,1.36503368770229,60.8119961572198
"DR16_2024-08-04_13:30:00","Gadid",4,50,"Bill height","Tail",1,5.58218964416839,1.3955474110421,61.1984365101185
"DR16_2024-08-04_13:30:00","Sandlance",1,50,"Bill height","Tail",1,0.865306029296504,0.865306029296504,68.6963209844892
"DR16_2024-08-04_20:34:00","Gadid",3,50,"Bill height",NA,1,5.66566694827943,1.88855564942648,63.641703620046
"DR16_2024-08-05_08:03:00","Gadid",2,50,"Bill height","Tail",1,1.9742832952354,0.987141647617699,55.4186274374508
"DR16_2024-08-05_08:03:00","Sandlance",2,75,"Bill height","Head",1,5.84400485894217,2.92200242947109,97.9531198415319
"DR16_2024-08-05_21:00:00","Herring0",3,75,"Bill height","Tail",1,3.46669302796428,1.15556434265476,60.1178322604779
"DR16_2024-08-09_18:56:00","Gadid",5,100,"Bill height","Tail",2,6.32299442038415,1.26459888407683,59.0356939182274
"DR16_2024-08-09_19:58:00","Gadid",5,100,"Bill height","Head",1,13.656004025195,2.73120080503901,74.1815536334977
"DR16_2024-08-09_21:24:00","Gadid",5,100,"Bill height","Tail",3,36.8524915770136,7.37049831540272,79.3977383575996
"DR16_2024-08-10_06:01:00","Herring0",4,100,"Bill height","Tail",1,5.49754165988628,1.37438541497157,63.4128066591349
"DR16_2024-08-10_06:16:00","Herring0",4,100,"Bill height","Tail",1,1.00181282463394,0.250453206158486,37.5556116492601
"DR16_2024-08-10_06:38:00","Gadid",1,100,"Bill height","Tail",1,4.28886076891145,4.28886076891145,84.4214943593656
"DR16_2024-08-10_06:38:00","Sandlance",1,100,"Bill height","Tail",1,9.01056433553886,9.01056433553886,136.020601987142
"DR16_2024-08-10_08:04:00","Gadid",7,100,"Bill height",NA,2,24.72943648461,3.53277664065858,73.2761882229339
"DR16_2024-08-10_12:43:00","Sandlance",5,75,"Bill height","Tail",1,2.0649887452282,0.412997749045641,55.3710471952964
"DR16_2024-08-10_16:12:00","Gadid",4,75,"Bill height","Tail",1,11.5174486154943,2.87936215387358,75.312966257889
"DR16_2024-08-10_17:44:00","Gadid",4,100,"Bill height",NA,3,4.66491658902483,1.16622914725621,57.9710609599322
"DR16_2024-08-11_06:32:00","UnknownFish",2,NA,"Bill height","Head",1,NA,NA,NA
"DR16_2024-08-11_10:59:00","Gadid",3,100,"Bill height","Tail",1,8.91298825184392,2.97099608394797,75.9920673123207
"DR16_2024-08-11_10:59:00","Herring0",3,50,"Bill height","Tail",1,1.09974077357936,0.366580257859788,42.2260266013897
"DR16_2024-08-11_14:48:00","Gadid",6,100,"Bill height","Tail",3,4.40158301839646,0.733597169732743,49.8005340890512
"DR16_2024-08-11_16:08:00","Herring0",3,50,"Bill height","Tail",1,0.750321027454475,0.250107009151492,37.5396309379378
"DR16_2024-08-11_16:08:00","Sandlance",2,50,"Bill height","Tail",1,0.683372661313357,0.341686330656679,52.3941397177059
"DR16_2024-08-11_16:08:00","Unknown",1,NA,NA,NA,0,NA,NA,NA
"DR16_2024-08-11_18:52:00","Gadid",3,100,"Bill height","Tail",1,4.49465755790275,1.49821918596758,62.4560271749539
"DR16_2024-08-12_05:57:00","Herring0",2,50,NA,NA,0,NA,NA,NA
"DR16_2024-08-12_16:06:00","Gadid",4,100,"Bill height",NA,3,4.02394855155929,1.00598713788982,51.81259327399
