"BL_ID","PhotoID","Prey","Confidence","BillHeight_pix","Headbill_pix","HeadLength_pix","TailLength_pix","Measure_comment","TotalLength","Mass"
"EC20_2024-07-25_05:45:00","07250613.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-25_13:35:00","07250730.JPG","Unknown",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-25_14:25:00","07250742.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-25_20:12:00","07250775.JPG","Sandlance",75,662,NA,161,NA,"1 UnknownFish added to Sandlance count",64.5421798745061,0.698636940144852
"EC20_2024-07-25_20:12:00","07250775.JPG","Sandlance",75,662,NA,161,NA,"1 UnknownFish added to Sandlance count",64.5421798745061,0.698636940144852
"EC20_2024-07-25_20:12:00","07250775.JPG","Sandlance",75,662,NA,161,NA,"1 UnknownFish added to Sandlance count",64.5421798745061,0.698636940144852
"EC20_2024-07-25_20:12:00","07250775.JPG","Sandlance",75,662,NA,161,NA,"1 UnknownFish added to Sandlance count",64.5421798745061,0.698636940144852
"EC20_2024-07-25_20:12:00","07250775.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-25_20:12:00","07250775.JPG","UnknownFish",NA,NA,NA,NA,NA,"",NA,NA
"EC20_2024-07-25_22:26:00","07250796.JPG","Sandlance",50,563,NA,NA,634,"",44.6560911373798,0.1975052826623
"EC20_2024-07-25_22:26:00","07250796.JPG","Sandlance",50,563,NA,NA,634,"",44.6560911373798,0.1975052826623
"EC20_2024-07-25_22:26:00","07250796.JPG","UnknownFish",NA,563,NA,225,NA,"",NA,NA
"EC20_2024-07-26_04:28:00","07260853.JPG","Capelin",100,316,NA,NA,751,"",102.362158061916,5.30094989794643
"EC20_2024-07-26_23:19:00","07260007.JPG","Capelin",100,323,NA,NA,833,"",111.078257441356,7.21355893896777
"EC20_2024-07-26_23:19:00","07260007.JPG","Capelin",100,323,NA,NA,833,"",111.078257441356,7.21355893896777
"EC20_2024-07-27_05:54:00","07270028.JPG","Capelin",75,584,NA,NA,1152,"Tip of tail offscreen—length estimated",84.9622902878251,2.62609752879877
